Recipe;Blocks;Mobs;Search for mob;Items;Fight;Facts;Externe;Explanations;Total
80;122;186;102;152;120;182;31;55;1030
What do you need to make a Nether Portal?;How do you obtain Obsidian?;What do Creepers do?;Which Mob can only be found in the Nether?;How to enchant a Sword?;What is the most powerful Mob?;How many Bosses are in Minecraft?;Which Mobs were added in the version 1.8?;How does Xp work?;
What are the materials for a Nether Portal?;Where can I find Obsidian?;What are Creepers?;Which Mob is specific to the Nether?;What enchantments can I use on a Sword?;What is the most difficult Mob to defeat?;How many Bosses are there?;What Mobs are in the game since version 1.8?;How can I gain Xp?;
How do I make a Nether Portal?;How do I get Obsidian?;What are the specificities of Creepers?;Which Mob is only in the Nether?;What kinds of enchants can I use on a Sword?;What is the most dangerous Mob?;What is the number of Bosses?;Were some Mobs added in version 1.8?;How do I gain Experience?;
What should I use to make a Nether Portal?;By which way do I obtain Obsidian?;What is Creeper's behavior?;What Mob is always in the Nether?;What enchants can I use on a Sword?;What is the Mob that causes the highest damage?;Are there many Bosses?;Have some Mobs been added in version 1.8?;How does Experience work?;
What is needed for making a Nether Portal?;What is a way to get Obsidian?;How do Creepers act?;What Mob can only be seen in the Nether?;What enchantments can you put on a Sword?;What is the Mob with the most attack?;Are the Bosses numerous?;Was there any change about Mobs in version 1.8?;Can I get Xp?;
What is a Nether Portal made of?;Where is Obsidian located?;What do Creepers generally do?;What Mob exists only in the Nether?;What enchantments can I put on a Diamond Sword?;What Mob has the strongest attack?;What do you know about the Boss?;Were Mobs modified in version 1.8?;How is Experience used?;
What is the recipe of the Nether Portal?;Do you know where Obsidian is?;Are Creepers dangerous?;Which Mob is always in the Nether?;What enchants can you put on a Diamond Sword?;What Mob causes the highest damage?;Is there a Boss?;What Mobs were modified in version 1.8?;What is Xp used for?;
Can you tell me how to make a Nether Portal?;I would like to get Obsidian.;Do Creepers explode?;Which Mob spwans only in the Wether?;What are some enchants you can put on a Diamond Sword?;What Mob is the strongest?;Are there Bosses?;Did version 1.8 add Mobs?;How should I use my Experience?;
How can I built a Nether Portal?;Can I find Obsidian somewhere?;How to beat Creepers?;What Mob is not out of the Nether?;What can I enchant a Diamond Sword with?;What is the Mob I should care the most about?;What are the Bosses of Minecraft?;What changed in version 1.8?;What should I do to obtain Xp?;
