,gameplay/Achievements.txt,gameplay/Advanced_redstone_circuits.txt,gameplay/Adventure.txt,gameplay/Altitude.txt,gameplay/Ambience.txt,gameplay/Amplified.txt,gameplay/Basic_Logic_Gates.txt,gameplay/block-generators.txt,gameplay/Blocking.txt,gameplay/Block_update_detector.txt,gameplay/Breaking.txt,gameplay/Breeding.txt,gameplay/brewing.txt,gameplay/cactus-farming.txt,gameplay/Chunks.txt,gameplay/Classic.txt,gameplay/Clock_circuit.txt,gameplay/Comparator_update_detector.txt,gameplay/Coordinates.txt,gameplay/Crafting.txt,gameplay/Creative.txt,gameplay/Crop_farming.txt,gameplay/Customized.txt,gameplay/Damage.txt,gameplay/Day-night_cycle.txt,gameplay/Debug_mode.txt,gameplay/Demo_mode.txt,gameplay/diamond-farming.txt,gameplay/Difficulty.txt,gameplay/Dimensions.txt,gameplay/dispenser-traps.txt,gameplay/Dyeing.txt,gameplay/egg-farming.txt,gameplay/enchanting.txt,gameplay/End_Portal.txt,gameplay/Fishing.txt,gameplay/Flying.txt,gameplay/food-and-cooking.txt,gameplay/Food.txt,gameplay/Gameplay.txt,gameplay/Hardcore.txt,gameplay/Hardcore_Mode.txt,gameplay/Heads-up_display.txt,gameplay/Health.txt,gameplay/Hunger.txt,gameplay/Inventory.txt,gameplay/Item_durability.txt,gameplay/Item_repair.txt,gameplay/Large_biomes.txt,gameplay/latches.txt,gameplay/Light.txt,gameplay/List_of_redstone_components.txt,gameplay/logic-gates.txt,gameplay/Logic_circuit.txt,gameplay/main.txt,gameplay/Mechanisms.txt,gameplay/Memory_circuit.txt,gameplay/Minecraft.txt,gameplay/Miscellaneous_circuits.txt,gameplay/mob-farms.txt,gameplay/mob-fishing.txt,gameplay/monostable-circuits.txt,gameplay/Moon.txt,gameplay/Multiplayer.txt,gameplay/Music.txt,gameplay/Opacity.txt,gameplay/Piston_circuits.txt,gameplay/Pulse_circuit.txt,gameplay/pumpkin-and-melon-farming.txt,gameplay/Quasi-connectivity.txt,gameplay/Rain.txt,gameplay/Redstone_circuit.txt,gameplay/Redstone_schematics.txt,gameplay/Smelting.txt,gameplay/Sneaking.txt,gameplay/Snowfall.txt,gameplay/South-east_rule.txt,gameplay/Spawn.txt,gameplay/Spectator.txt,gameplay/Sprinting.txt,gameplay/Status_effect.txt,gameplay/sugar-cane-farming.txt,gameplay/Sun.txt,gameplay/Superflat.txt,gameplay/Survival.txt,gameplay/Survival_Mode.txt,gameplay/The_Player.txt,gameplay/Third_person_view.txt,gameplay/Thunderstorm.txt,gameplay/tnt-traps.txt,gameplay/Trading.txt,gameplay/Transmission_circuit.txt,gameplay/Transportation.txt,gameplay/tree-farming.txt,gameplay/Units_of_measure.txt,gameplay/Weather.txt,gameplay/World_border.txt,gameplay/World_boundary.txt,gameplay/Zombie_siege.txt
achiev,0.12457807709660718,0.0,0.0,0.004041088975376516,0.0,0.0,0.002916049804631694,0.0,0.0,0.0,0.0,0.002222598936457084,0.0,0.0,0.0,0.0,0.001390183926693218,0.0,0.0,0.0,0.005368280199984709,0.0009303374823352776,0.0,0.00191744463744851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003944872571200885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007735700882405809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010181738144663735,0.0,0.0,0.0061210113447348734,0.004544965406221468,0.0034847631508504945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014757337067974159,0.0
way,0.0010651457727568424,0.0017767423151982804,0.00290160400164795,0.0009328882045209596,0.0,0.0017530524176623031,0.001346344256764649,0.0,0.0,0.0016257054877857526,0.000945466472447085,0.0015392655374595833,0.0007709254791368809,0.0,0.0011340500815066113,0.0,0.0009627747831554984,0.0018493739790723198,0.001205537479194707,0.0009795869155738131,0.0012392712230896987,0.0006443071672878296,0.0,0.002434538865138601,0.0005662618845746336,0.0,0.001575777454078475,0.0,0.0,0.0,0.0027639366585040692,0.0007968420080283196,0.0014118542961038684,0.00112120607658615,0.001829272087995447,0.0009106765806037939,0.0018453183343813716,0.0007649683277071869,0.0,0.002723188221611345,0.0010815747563983362,0.0,0.001569897687458779,0.0,0.0,0.0,0.0,0.0010985184862635842,0.0,0.0037068949800788792,0.000634110897119748,0.0009224063145825219,0.0,0.001313762935953014,0.0,0.0017857919364981018,0.0014195953782841087,0.0021659334890036176,0.0,0.006655656636548405,0.0012788224323372424,0.0020423911662085085,0.0007878887270392375,0.0,0.0,0.0006874715363381582,0.0019691072398078913,0.00018616485851281095,0.0009048012478257048,0.0008958110296074225,0.0,0.00110974633759038,0.0,0.000964982982199433,0.0,0.0,0.0,0.00024939690589149537,0.0014814527473202563,0.0,0.0023504613421170546,0.00290160400164795,0.0011432950549971543,0.0010597797990905611,0.0,0.0016089200009137773,0.0,0.0,0.0009475959014390829,0.0021705894079395672,0.0010337409833880904,0.000456986872091549,0.0,0.004298672595034,0.0,0.001104284987503813,0.0,0.0010220224621189137,0.0
gradual,0.0075586884498746575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022499487096461867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006605491012611703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016226532270111355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guid,0.010279344266699002,0.0008573355121085528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001859982127964318,0.0,0.0018240525540638393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006812652659976688,0.0013525452982498687,0.0,0.0,0.0,0.003691219077587369,0.0,0.0,0.005218947281935869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017653656458026547,0.0,0.0,0.0026128320369022563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011341734595938844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034912648197300998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new,0.0022317665403298282,0.0007445504927620626,0.0,0.0,0.0,0.0,0.0,0.0017701762719483573,0.007052382267442257,0.001362515894018983,0.0,0.0021501165449519075,0.000403823996074339,0.0,0.0015840930519861313,0.0,0.0,0.0,0.00252592488088906,0.0,0.001298303068380386,0.0,0.0,0.0,0.0023729415435539223,0.0,0.003301677091499184,0.006712292767235651,0.0,0.0,0.0006434655353505708,0.0,0.0,0.0,0.0,0.001908112085346931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004603382681098079,0.0,0.0,0.005978847061697466,0.0,0.0,0.0013763431435289337,0.007665632899393757,0.001870856925785828,0.0014872168425647946,0.0011345531318279049,0.0007534596439575061,0.0,0.0,0.0,0.004952515637248776,0.0,0.0,0.0,0.0006876347764666787,0.0005850980863475324,0.0,0.0,0.0,0.00029065208817351864,0.0,0.002021898585849271,0.0,0.0,0.0,0.000522553517148952,0.0,0.0,0.007387271928186721,0.0,0.002395510281060549,0.005181221229229198,0.008793494099055183,0.005056679446062804,0.0012329339628395553,0.0,0.0019854679806988336,0.0,0.004331930139706545,0.0,0.002663286354774266,0.0,0.0,0.004627547419581533,0.0,0.0007138038732229004,0.0
player,0.00333874486099331,0.0,0.010394516020432374,0.0037596572634878735,0.011386849624031343,0.0,0.0,0.0011349433907851614,0.012057638583701553,0.0,0.009314187108196426,0.001838054662149627,0.0002589105857127853,0.000819133055957986,0.00643236559665121,0.004331048341846822,0.0002874151073536793,0.0,0.005398298076513948,0.004605835460159572,0.006659226021926484,0.0006732027667648583,0.0,0.007333847770860032,0.003042809198444201,0.0010765748735447815,0.005644961883755409,0.0,0.007749125053792771,0.0,0.006738415723099636,0.0007136386472361241,0.001264433576310985,0.0012551672409749286,0.0038226209278039345,0.00244676107623814,0.014047413371911075,0.0003425465506733396,0.0025064381756585825,0.006097106889007662,0.007749125053792771,0.0031012444916927867,0.005623898593144381,0.01853536928508704,0.010848403236295785,0.0024830392470555095,0.0024109766363662843,0.0004919075792959185,0.0034254655067333956,0.0,0.00014197483260763887,0.0010326149787357455,0.0,0.0,0.003276532223831944,0.0003998315001492716,7.946039766779282e-05,0.004606964548952894,0.00016102615629943315,0.0014901742599913643,0.011452924186646613,0.0,0.0007056202354694261,0.007010254990524159,0.0018470647340229096,0.0006156882446743033,0.00029391669714561123,4.168154930759663e-05,0.0008103251736358571,0.0,0.0021470154173257754,0.00018635074467886922,0.0,0.0021605573723662477,0.01031588315428357,0.0,0.0015966152785621762,0.004467115657862164,0.005307059235784135,0.012490647704110725,0.0036838106706490433,0.0,0.00409566527978993,0.0003163738083464933,0.012685327375309459,0.009726226152005914,0.010012899173528388,0.019551005958242496,0.002970279774982787,0.0063178190128487825,0.001388702232459485,0.0004092699555474369,0.006830233336688947,0.0,0.0,0.0024724488565660992,0.004739637808058787,0.001830613145298819,0.0033052737345673116
minecraft,0.003079481833732894,0.0006849072772097372,0.0055926221808022675,0.0,0.0014852201762203825,0.001689437950450685,0.0038924650378383777,0.0016283739281452384,0.0,0.0006266848657004086,0.0009111575463104819,0.0,0.000557212700102837,0.0,0.001457197154027545,0.046605184840018896,0.00030927925866374096,0.0008911321057322294,0.0011617911407110727,0.0018880796652301019,0.0017914511403895332,0.0008279022115531688,0.005573403547878548,0.0006398712910702226,0.01800854450547702,0.0007723144916345989,0.010630171373622288,0.0,0.0010423267560621193,0.010396541233542677,0.0,0.0007679263411139477,0.0,0.0013506499270758308,0.0,0.0,0.0,0.0007372092874693898,0.0,0.0065609240794201355,0.0020846535121242385,0.0,0.001512929507866285,0.0005464489327603294,0.0007782439694974364,0.0,0.0,0.0,0.0,0.0,0.0015277509725251108,0.000333350321820908,0.0,0.0006330446652742614,0.01586602596944991,0.0008604947116047631,0.0013680813432582518,0.017220525826987677,0.0010396541233542677,0.00045815266452899935,0.0,0.0,0.008352277507846083,0.001885884223758904,0.007950296237414988,0.001325049372902498,0.0,8.97046699354346e-05,0.00087196797442616,0.0,0.0011551712481714085,0.0013368450646494047,0.0,0.0009299658442847808,0.0011684873432511941,0.0022778938657762042,0.0034361449839674946,0.0,0.0,0.0,0.0022651682017215888,0.0,0.001101807358989577,0.013617635872650356,0.004044539731752263,0.005426875251925718,0.003118962370062803,0.0,0.0,0.0,0.0,0.0001468012701332963,0.0,0.0,0.007508613113114155,0.0010642128821736598,0.0008500316731827346,0.0009849354852829904,0.0
give,0.0036654118441858175,0.000917126907804095,0.0,0.0016051415503917938,0.0,0.0,0.002316540285525437,0.0,0.0,0.000559442688737789,0.0,0.001765655705430973,0.0009948495271095267,0.0,0.0,0.0,0.0,0.0015910304158828549,0.0020742660149762147,0.0025282380881025573,0.0063969264143743645,0.0018476744237536983,0.0,0.00038080948933545445,0.0,0.0,0.0027113065139576743,0.0,0.0,0.0,0.0010568158236886115,0.0,0.00728777354926207,0.002411455160648564,0.0,0.0,0.0,0.005264864285285083,0.0,0.0,0.0018609738797601514,0.0,0.0,0.0,0.0,0.0,0.0013234348066301627,0.0037802550351263655,0.0,0.0,0.001091060797628785,0.00019838828150909812,0.0035837566298351437,0.0005651200930731452,0.0,0.0006145321215846341,0.0009159664773007579,0.0,0.0006187340506211102,0.0,0.008801444853820048,0.0035141691224597035,0.0013556532569788371,0.001683532184248137,0.0,0.0,0.000564679281768096,0.0004804771056814374,0.0,0.0,0.0,0.00047736158208156875,0.0,0.0033207286203059587,0.002086221438693657,0.0,0.0,0.0004291160872713094,0.0,0.0,0.0020221196626444104,0.0024962718594024103,0.0019671707587682035,0.0012156487644444988,0.0036105677766917654,0.0,0.0,0.0,0.0,0.0012449163185325864,0.001778670366650366,0.0,0.0,0.0027736353993360113,0.0,0.0,0.0,0.0005861691005884202,0.0
challeng,0.006368805844189251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011523950107442758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003672523078036137,0.0,0.0,0.0,0.0,0.0,0.0,0.004573960560826825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008674752787775014,0.0,0.0021122403933289285,0.0,0.004810092367982321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complet,0.011758305272399428,0.0,0.0,0.0,0.002126616567123523,0.0,0.0,0.0,0.0,0.0008973204371324911,0.002609286844156053,0.0,0.000531897684676795,0.0,0.0031297375893516,0.0,0.0011809129373500568,0.0,0.0,0.001351726013561634,0.0,0.0005927170217710279,0.0,0.0,0.0,0.0,0.0,0.0,0.008954750480586969,0.0,0.001695084154232764,0.0,0.0,0.0007735727152894361,0.0016828009357238312,0.0025132741247823453,0.0,0.0,0.007723720481038427,0.0,0.0029849168268623223,0.0,0.0,0.0,0.0,0.0,0.0021227287854651616,0.0,0.0,0.0,0.002625017284814115,0.0003182057127019577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011383653388720034,0.0,0.0005137755069245326,0.0,0.0,0.0,0.0007656661032966987,0.0,0.0053262965396763465,0.0,0.0,0.0,0.0013765650807936495,0.004088495231160012,0.0,0.003243387278350401,0.0,0.0031552517544821833,0.0029247673693940644,0.0,0.0,0.0,0.0,0.0,0.00399357745709181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009401883770440838,0.0
