,items/Apple.txt,items/Armor.txt,items/Arrow.txt,items/Axe.txt,items/axes.txt,items/Baked_Potato.txt,items/beef.txt,items/Beetroot.txt,items/Beetroot_Seeds.txt,items/Beetroot_Soup.txt,items/blaze-powder.txt,items/blaze-rods.txt,items/Blaze_Powder.txt,items/Blaze_Rod.txt,items/Boat.txt,items/boats.txt,items/bone-meal.txt,items/Bone.txt,items/bones.txt,items/Bone_Meal.txt,items/Book.txt,items/books.txt,items/Book_and_Quill.txt,items/Boots.txt,items/bottle-o-enchanting.txt,items/Bottle_o%27_Enchanting.txt,items/Bow.txt,items/Bowl.txt,items/bowls.txt,items/Bread.txt,items/Bucket.txt,items/buckets.txt,items/Cactus_Green.txt,items/Carrot.txt,items/Carrot_on_a_Stick.txt,items/Charcoal.txt,items/Chestplate.txt,items/chicken-cooked.txt,items/chicken-raw.txt,items/clay-balls.txt,items/clay.txt,items/Clock.txt,items/clocks.txt,items/Coal.txt,items/cocoa-beans.txt,items/Cocoa_Beans.txt,items/Compass.txt,items/Cooked_Chicken.txt,items/Cooked_Fish.txt,items/Cooked_Mutton.txt,items/Cooked_Porkchop.txt,items/Cooked_Rabbit.txt,items/Cooked_Salmon.txt,items/Cookie.txt,items/Cyan_Dye.txt,items/Dandelion_Yellow.txt,items/Diamond.txt,items/Dyes.txt,items/Egg.txt,items/eggs.txt,items/Emerald.txt,items/Enchanted_Book.txt,items/Enchanted_Golden_Apple.txt,items/ender-pearl.txt,items/Ender_Pearl.txt,items/Entity.txt,items/Experience.txt,items/Experience_Orb.txt,items/eye-of-ender.txt,items/Eye_of_Ender.txt,items/Feather.txt,items/fermented-spider-eye.txt,items/Fermented_Spider_Eye.txt,items/fire-charge.txt,items/Firework_Rocket.txt,items/Firework_Star.txt,items/Fire_Charge.txt,items/fish-cooked.txt,items/fish-raw.txt,items/fishing-rod.txt,items/Fishing_Rod.txt,items/flint-and-steel.txt,items/Flint.txt,items/Flint_and_Steel.txt,items/ghast-tear.txt,items/Ghast_Tear.txt,items/glass-bottle.txt,items/Glass_Bottle.txt,items/glistering-melon.txt,items/Glistering_Melon.txt,items/glowstone-dust.txt,items/Glowstone_Dust.txt,items/gold-ingot.txt,items/gold-nuggets.txt,items/golden-apple.txt,items/Golden_Apple.txt,items/Golden_Carrot.txt,items/Gold_Ingot.txt,items/Gold_Nugget.txt,items/Gray_Dye.txt,items/gunpowder.txt,items/Helmet.txt,items/hoe.txt,items/Horse_Armor.txt,items/Ingot.txt,items/Ink_Sac.txt,items/iron-ingot.txt,items/Iron_Ingot.txt,items/items.txt,items/Item_(entity).txt,items/Lapis_Lazuli.txt,items/Lead.txt,items/Leather-Chainmail_Armor.txt,items/Leather.txt,items/Leggings.txt,items/Light_Blue_Dye.txt,items/Light_Gray_Dye.txt,items/Lime_Dye.txt,items/Magenta_Dye.txt,items/magma-cream.txt,items/Magma_Cream.txt,items/map.txt,items/melon-seeds.txt,items/melon-slice.txt,items/Melon_Seeds.txt,items/Melon_Slice.txt,items/Milk.txt,items/Mushroom_Stew.txt,items/music-discs.txt,items/Music_Disc.txt,items/Music_Disc_11.txt,items/Name_Tag.txt,items/Nether_Brick_(item).txt,items/Nether_Quartz.txt,items/Nether_Star.txt,items/Orange_Dye.txt,items/Paper.txt,items/Pickaxe.txt,items/pickaxes.txt,items/Pink_Dye.txt,items/Poisonous_Potato.txt,items/porkchop-cooked.txt,items/porkchop-raw.txt,items/Potato.txt,items/potion-of-fire-resistance.txt,items/potion-of-harming.txt,items/potion-of-healing.txt,items/potion-of-poison.txt,items/potion-of-regeneration.txt,items/potion-of-slowness.txt,items/potion-of-strength.txt,items/potion-of-swiftness.txt,items/potion-of-weakness.txt,items/Potion.txt,items/Potions.txt,items/Prismarine_Crystals.txt,items/Prismarine_Shard.txt,items/pumpkin-seeds.txt,items/Pumpkin_Pie.txt,items/Pumpkin_Seeds.txt,items/Purple_Dye.txt,items/Rabbit%27s_Foot.txt,items/Rabbit_Hide.txt,items/Rabbit_Stew.txt,items/Raw_Beef.txt,items/Raw_Chicken.txt,items/Raw_Fish.txt,items/Raw_Mutton.txt,items/Raw_Porkchop.txt,items/Raw_Rabbit.txt,items/Raw_Salmon.txt,items/redstone-dust.txt,items/Redstone.txt,items/Rose_Red.txt,items/rotten-flesh.txt,items/Rotten_Flesh.txt,items/saddle.txt,items/Salmon.txt,items/Seeds.txt,items/Shears.txt,items/Shovel.txt,items/shovels.txt,items/Slimeball.txt,items/slimeballs.txt,items/Snowball.txt,items/spawn-eggs.txt,items/Spawn_Egg.txt,items/spider-eyes.txt,items/Spider_Eye.txt,items/splash-potion-of-fire-resistance.txt,items/splash-potion-of-harming.txt,items/splash-potion-of-healing.txt,items/splash-potion-of-poison.txt,items/splash-potion-of-regeneration.txt,items/splash-potion-of-slowness.txt,items/splash-potion-of-strength.txt,items/splash-potion-of-swiftness.txt,items/splash-potion-of-weakness.txt,items/Splash_Potion.txt,items/Splash_Potions.txt,items/Steak.txt,items/Stick.txt,items/sticks.txt,items/String.txt,items/sugar.txt,items/Sword.txt,items/swords.txt,items/Tools.txt,items/wheat.txt,items/Wheat_Seeds.txt,items/Written_Book.txt
appl,0.35398528352724357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24060764411236124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039432919451748094,0.14864765447779385,0.2593431899252435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010840665141374045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011771020731865102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01041133186844834,0.0,0.0,0.0,0.0,0.0
type,0.004095657654464539,0.03062058512330308,0.0,0.0,0.014951617702442835,0.0,0.0,0.0,0.0,0.03649953733243398,0.0,0.0,0.0,0.0,0.006215280146758374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01969816300480564,0.019092065681580853,0.0,0.0,0.0,0.0,0.0,0.01340155798383105,0.0,0.0,0.0,0.0,0.0,0.0,0.016694855640844244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016999784510996648,0.011281675175479592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00832875348525339,0.0,0.0,0.015910054734650708,0.004323987001054896,0.0016999784510996648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016724855381438752,0.0,0.0,0.0,0.0,0.0,0.018339669004474216,0.008218438869554671,0.019092065681580853,0.0,0.0,0.0,0.0,0.003876864321470651,0.0058814420346102155,0.0,0.0062361018557927405,0.0,0.013062992308450056,0.020124069231936572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005372226274037902,0.03649953733243398,0.0,0.0,0.0,0.007132093501739972,0.019092065681580853,0.004773016420395213,0.0,0.0,0.0,0.0,0.0,0.04482110227730041,0.013788714103363948,0.0,0.0,0.0,0.0,0.0,0.03265748077112514,0.03354011538656096,0.03265748077112514,0.016546456924036737,0.022981190172273246,0.06531496154225028,0.021033631683097548,0.018802791959132658,0.03649953733243398,0.0,0.0038480132381480785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013637189772557751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038184131363161705,0.0,0.004630538318293863,0.06671958437111587,0.028204187938698985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01852215327317545,0.011281675175479592,0.02341479753401425,0.012286972963393617,0.02068307115504592,0.03447178525840987,0.02068307115504592,0.022563350350959185,0.028860099286110587,0.0,0.006364021893860284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004885764839774627,0.002801318892331276,0.010089303002461426,0.008801306874487626
food,0.009119248976395674,0.0,0.0,0.0,0.0,0.08634788874524654,0.015182046372790602,0.0,0.0,0.08126860117199675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02088761023643113,0.0,0.0,0.0,0.009366550643552168,0.0,0.0,0.0,0.03482940050228432,0.043859245076950625,0.0,0.0,0.0,0.0,0.0,0.0,0.006455916915532451,0.0,0.009089251446868056,0.056776693969477175,0.03767907872519849,0.027631324398478894,0.06425889394995092,0.030701471553865437,0.03315758927817467,0.0,0.0,0.0,0.0,0.009398409659346562,0.0,0.0,0.0,0.017562282456660316,0.0,0.0,0.0,0.0018925564656492393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01625372023439935,0.025119385816798994,0.0,0.0,0.006059500964578704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014466661988732405,0.013033643584188157,0.04934165071156945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003452836538391614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009334906891378005,0.0,0.12190290175799513,0.03369673707131573,0.02791042868533222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024670825355784725,0.015182046372790602,0.01569961613549937,0.013157773523085189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002475925125311729,0.0,0.0,0.0,0.0,0.05526264879695779,0.0,0.0,0.0,0.0,0.0379551159319765,0.027089533723998915,0.09398409659346563,0.025119385816798994,0.027357746929187025,0.028195228978039687,0.04317394437262327,0.025119385816798994,0.0,0.0,0.0,0.07970574345715066,0.05722463632821073,0.0,0.0,0.005526264879695779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013815662199239447,0.014466661988732405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392862432205861,0.0,0.0,0.0,0.007348756488957152,0.0,0.0,0.0,0.006237319277309005,0.0,0.0
refil,0.01308766921569695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005344425569213176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019344213523688664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
introduc,0.011749500542072645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04876847485271248,0.0,0.0,0.0,0.0,0.014240394656992046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017366334947551274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01956098167169237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minecraft,0.008300419612237398,0.0025857030251966394,0.0,0.010060108570031727,0.0,0.0,0.0,0.014050430963731462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00439690059879009,0.0,0.0,0.003992106575409415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015524858904369948,0.008525515737315022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007064682984572842,0.0,0.013099099700562142,0.0,0.005876231641373671,0.004692214818111813,0.0,0.03445242660969769,0.0,0.005030054285015863,0.014622250828534486,0.0,0.0,0.015524858904369948,0.014454178979930642,0.013307021918031384,0.0,0.0,0.0,0.012575135712539659,0.004219844198838811,0.0,0.0,0.0,0.0109539509691112,0.0017226213304848846,0.002142271841999942,0.0,0.0,0.0,0.0,0.0,0.0,0.004539760185032367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008473811127048288,0.0,0.0,0.0,0.015524858904369948,0.0,0.0,0.0041639522226952505,0.0,0.0,0.009748167219022991,0.0,0.0,0.0023571013519287083,0.0029798899792748005,0.008855729375027929,0.0,0.048365906586690995,0.0,0.0,0.010656894671643777,0.011030820800473384,0.010307488288966934,0.009384429636223626,0.0,0.0,0.0024778592537023953,0.0,0.0,0.005443781693740111,0.0,0.0,0.0,0.012091476646672749,0.007227089489965321,0.0,0.0,0.0,0.0,0.0,0.014129365969145683,0.0,0.008515893259056202,0.0,0.013818830453340284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00901443420253739,0.0019496334438045982,0.0,0.0,0.0,0.0,0.0,0.013972373013932953,0.0,0.0,0.006909415226670142,0.0,0.008554514090163032,0.0,0.012450629418356098,0.0,0.013099099700562142,0.0,0.0,0.0023907102115094405,0.013972373013932953,0.0,0.0,0.004507217101268695,0.038692725269352794,0.005030054285015863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013167681374387077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015060042769508574,0.0,0.0,0.0,0.026198199401124285,0.0055765568570020655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indev,0.01124075242383087,0.002334440016738008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014712518291234355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013623791937683013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091804527881961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013623791937683013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
origin,0.008953137966537319,0.0018593562740649816,0.005206911331786579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009485317496016811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05061195529591059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036560657733973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002542456236045743,0.0,0.0,0.0,0.10433849245618491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005345420303174005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00486165018613048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010122391059182119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013911798994157988,0.0,0.0,0.0,0.0,0.0,0.008953137966537319,0.0,0.0,0.0,0.0,0.0
extrem,0.011749500542072645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02377361378462779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012129808055359494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009595953272905692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012760210266121903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valuabl,0.01235122185162365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801165190698234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010087386040544384,0.06682893251860654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
