,mobs/Bat.txt,mobs/bats.txt,mobs/Blaze.txt,mobs/blazes.txt,mobs/Cat.txt,mobs/cave-spiders.txt,mobs/Cave-Spider_Jockey.txt,mobs/Cave_Spider.txt,mobs/Charged_Creeper.txt,mobs/Chicken.txt,mobs/chickens.txt,mobs/Chicken_Jockey.txt,mobs/Clownfish.txt,mobs/Cow.txt,mobs/cows.txt,mobs/Creeper.txt,mobs/creepers.txt,mobs/Donkey.txt,mobs/Drops.txt,mobs/Elder_Guardian.txt,mobs/ender-dragon.txt,mobs/Enderman.txt,mobs/endermen.txt,mobs/Endermite.txt,mobs/Ender_Dragon.txt,mobs/Ghast.txt,mobs/ghasts.txt,mobs/Giant.txt,mobs/Guardian.txt,mobs/Horse.txt,mobs/iron-golems.txt,mobs/Iron_Golem.txt,mobs/magma-cubes.txt,mobs/Magma_Cube.txt,mobs/Mob.txt,mobs/mobs.txt,mobs/Mooshroom.txt,mobs/mooshrooms.txt,mobs/Mule.txt,mobs/Ocelot.txt,mobs/ocelots.txt,mobs/Pig.txt,mobs/Pigman_Jockey.txt,mobs/Pigmen.txt,mobs/pigs.txt,mobs/Pufferfish.txt,mobs/Rabbit.txt,mobs/rabbits.txt,mobs/Sheep.txt,mobs/Silverfish.txt,mobs/Skeleton.txt,mobs/skeletons.txt,mobs/Slime.txt,mobs/slimes.txt,mobs/snow-golems.txt,mobs/Snow_Golem.txt,mobs/spider-jockeys.txt,mobs/Spider.txt,mobs/spiders.txt,mobs/Spider_Jockey.txt,mobs/Squid.txt,mobs/Villager.txt,mobs/villagers.txt,mobs/Witch.txt,mobs/Wither.txt,mobs/Wither_Skeleton.txt,mobs/Wither_Skeleton_Jockey.txt,mobs/Wolf.txt,mobs/wolves.txt,mobs/zombie-pigmen.txt,mobs/Zombie.txt,mobs/zombies.txt,mobs/Zombie_Pigman.txt
bat,0.29181897482281294,0.11357727145092436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007808437412251051,0.003399591798531069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037017777361782753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passiv,0.016227409844639336,0.010105250675979952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027446359860686287,0.00596820174151836,0.0030770313477032378,0.0,0.011499078355425461,0.006686180898392749,0.0006074194395397785,0.0,0.004005684952640701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009864249134622692,0.0,0.0055492172198829065,0.0,0.0,0.022231551487155894,0.018148205295637463,0.00335570588485372,0.0,0.00404210027039198,0.004761778096311837,0.005024079432125625,0.004085430594883166,0.0,0.0,0.00842902426053304,0.0,0.004906273431648196,0.0028320447754338718,0.0031422687614354617,0.0,0.0,0.0,0.0034467521685513014,0.0,0.0,0.0016684091172349637,0.0,0.0,0.0,0.0,0.009074102647818732,0.0012697697184477425,0.0036595146480915054,0.0,0.0,0.0,0.0,0.0008106308655298411,0.0,0.0,0.0,0.0,0.0006721557516902764
mob,0.002848427356551563,0.0016125394539155545,0.0008548401924371614,0.00022668286253126003,0.00048266487055975774,0.00022740941016757818,0.005912644664357033,0.0007779795610996095,0.0,0.001313921036523785,0.0019047445898599837,0.0004910154738566394,0.0,0.001070392568547394,0.0,0.0005815716063301999,0.0008607662942911452,0.00031960241428956933,0.0015580617696616507,0.0008207784366973772,0.0,0.0003808758832868027,0.0005178958830093751,0.0008582871286969886,0.00033362885253425265,0.0013732594059151818,0.00013514616375673218,0.0018038576942106203,0.0008176256386050699,0.00035416839919609515,0.002257555235481776,0.0013282696281862914,0.0,0.0010316084390154436,0.00864724282162216,0.008494901721851737,0.0005354847997908256,0.0005067981140877457,0.0003225078907831109,0.0007598579488330323,0.0010021431634503444,0.00043462012846728573,0.003153410487657084,0.0004077685975418643,0.0010087924545822426,0.0,0.0006850512438703321,0.0006778828277606789,0.000601710835100645,0.0006021363731735592,0.0010709695995816512,0.0010434078819453586,0.0008250201857242371,0.001293952631713393,0.002320851176663508,0.0009318239245891009,0.0006116528963127965,0.0009460231462971253,0.0011797200755486717,0.0009588072428687081,0.0020271924563509828,0.00040524551721438014,0.0005839649051216823,0.0006051320765226814,0.001198509053585885,0.000834726305556287,0.0038009858556580923,0.0007114576989016667,0.0012339432343005982,0.00031816921960665646,0.0003801602999002086,0.0007972105165425212,0.0006971825908085391
spawn,0.005437906771598439,0.0008062697269577773,0.001117867943956288,0.0011334143126563003,0.0,0.0006822282305027346,0.0,0.0009335754733195314,0.0007390805830446291,0.0015329078759444158,0.0023809307373249796,0.001473046421569918,0.0,0.0009174793444691947,0.0010669433980794645,0.00019385720211006666,0.0004918664538806544,0.0009588072428687081,0.00047940362143435405,0.0009119760407748637,0.0007508120208707343,0.00027205420234771625,0.0007768438245140628,0.002574861386090966,0.0010564913663584667,0.0008239556435491091,0.0008108769825403931,0.003307072439386137,0.0009084729317834109,0.0011412092862985287,0.0009675236723493326,0.0014389587638684823,0.0,0.0008023621192342339,0.0022172417491338873,0.0016410605599031763,0.0016064543993724767,0.001520394342263237,0.0006450157815662218,0.0007598579488330323,0.0010021431634503444,0.00032596509635046434,0.009460231462971253,0.0004077685975418643,0.0016813207576370707,0.0,0.0010765090975105218,0.0013557656555213578,0.001554419657343333,0.0018064091195206778,0.0014725831994247703,0.0008695065682877989,0.002750067285747457,0.0006469763158566965,0.0,0.00026623540702545737,0.0006116528963127965,0.0012613641950628336,0.0005055943180922879,0.0025168690125303584,0.0017375935340151279,0.0004727864367501102,0.0011679298102433646,0.0013615471721760333,0.0008389563375101195,0.0043127525787074825,0.0050679811408774565,0.0003880678357645455,0.0006169716171502991,0.00015908460980332823,0.0017625613904464219,0.000597907887406891,0.0012334768914304922
natur,0.004765498404540185,0.0,0.0018152176499221652,0.0,0.0,0.0,0.0,0.0014317396522412398,0.0,0.0020150409920432263,0.0,0.0011295385491730198,0.0,0.0,0.0,0.0008919033899207724,0.0,0.00294087063703606,0.0,0.002517506226563003,0.0,0.0005006696943420287,0.0,0.0,0.0005116561766630136,0.00252725141195615,0.0024871363101790682,0.005532824418830554,0.0008359453027170364,0.001810519360571285,0.002967605824645479,0.003055569179822178,0.0,0.0,0.002040229004443767,0.0017765259358421914,0.0,0.0,0.002967605824645479,0.0008739936832958573,0.0018442748062768514,0.0,0.0,0.0,0.0,0.0,0.005403089225561424,0.0020792142720446032,0.004613945451745621,0.0009234416993239115,0.0012318363800415196,0.0,0.002530516594658936,0.0,0.0,0.0,0.0,0.0019344393523614974,0.0,0.0,0.0,0.0006214881308158071,0.0,0.001392053904950971,0.0,0.0012801436890627557,0.011658451453964382,0.001785432857124901,0.0,0.0014638414381659313,0.0015900469591378602,0.0,0.000493479426622831
cavern,0.023298154397666287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021802234648089355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
larg,0.01240039285591545,0.0,0.0,0.00434211839299787,0.0023113657432114513,0.004356035439129274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005109334800783208,0.0004641677107268898,0.0011777149540800117,0.003060997876144895,0.0011478742035543358,0.0017468933894708655,0.003595457822773369,0.0,0.0,0.0,0.0010651121136428946,0.0017536555574301077,0.0012943648161984128,0.0028794132563735877,0.000870091585792787,0.0,0.006177650259128788,0.0021202543791081644,0.01812110742677778,0.006586832263368337,0.0,0.0009245462972845805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220575964474724,0.0,0.0009372986600057471,0.0,0.00048024136290047113,0.0,0.0,0.003331085924040033,0.0013169409467135014,0.01858928193476444,0.006350855406580997,0.0,0.0,0.0,0.0,0.0,0.001386819445926871,0.00032343718634182135,0.002796467195490398,0.0,0.0011478742035543358,0.0,0.0,0.0006194544471323306,0.002954528384800725,0.0015236357141349029,0.0,0.0038176490365402624,0.0
enclos,0.010599142627841243,0.0,0.0,0.0,0.0,0.0,0.0,0.00636878307023794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038877711914705494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
space,0.015329427188892991,0.0,0.0,0.0,0.0,0.0044874605232443155,0.0,0.003070367726430321,0.0,0.004321258281642674,0.0,0.0,0.0,0.003017430351836695,0.0,0.0009563440459373131,0.0,0.0,0.0,0.0,0.0,0.001073686873659683,0.0,0.0,0.0,0.003613129505167036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019789225204978464,0.0019803220413751434,0.0,0.0,0.010853392893428111,0.0,0.0,0.002626806159947892,0.0,0.006222611925565451,0.0,0.0023650129784665986,0.0,0.0019991732745153162,0.0,0.0,0.0,0.005490539934322456,0.0,0.0,0.0,0.0,0.0,0.0,0.0010582673342798385
abl,0.0028976345973792364,0.0,0.0022074658378551737,0.0,0.0027005165975575196,0.0,0.0,0.001741122543162085,0.0,0.002450468764450342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020410074027812615,0.0,0.0012177176068740964,0.0,0.0,0.0012444386828870076,0.0010244540382992398,0.0030245785892644224,0.0,0.003049751138342807,0.0004403504601674492,0.0,0.0012386144768828562,0.0,0.0,0.0,0.001080206639023008,0.0,0.005671084854870791,0.0,0.0,0.0,0.0036475584058893304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011229870999744142,0.002247033621741257,0.0019459604894164482,0.0015386664334920753,0.0,0.0,0.0,0.0034222063779392707,0.0011762250069361642,0.0018858714481755602,0.0013411349318951198,0.001620309958534512,0.0018894618745404826,0.0032672916859337897,0.0,0.0013411349318951198,0.0,0.0,0.0,0.0,0.0035603223304121563,0.0007734553138645016,0.008920807636875402,0.00180034439837168
fli,0.0332380449396046,0.01724853089668875,0.008440430318305523,0.024247136084802074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024093186014422376,0.0,0.0,0.0,0.010705984694496466,0.009792714315539418,0.005782364643461371,0.0,0.0,0.0,0.0,0.002367973040419048,0.0,0.0,0.004743345996589406,0.0,0.0,0.0,0.0,0.0,0.0,0.0023244574562153292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030976953447114488,0.0007224515558822512,0.0,0.0,0.010255883235868986,0.0,0.0,0.0,0.006599437908298303,0.0,0.0,0.0,0.0
overworld,0.006251622165425145,0.0,0.001587529632369314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057481358165318444,0.0014817858765800085,0.0,0.0036916906752726074,0.0,0.0005850220195787192,0.0014843539630212217,0.0,0.0,0.0,0.0045315991357843645,0.001313607724943627,0.0,0.0,0.002684865945652805,0.0,0.0,0.0,0.0,0.0,0.0,0.00133615013520007,0.0,0.0013836385083412681,0.0,0.0011652683492016937,0.0,0.0,0.0,0.0,0.0,0.0013115960745225803,0.0,0.0,0.00811822025273218,0.0,0.0,0.0,0.0012105614652484027,0.0,0.0016159853521948017,0.0020991966584883452,0.0016598299160140405,0.0,0.0,0.0,0.0036916906752726074,0.001268847758019622,0.002034375859057589,0.0014467436430122382,0.0,0.0004076498032666563,0.0,0.003652333631826204,0.0,0.005038071980372029,0.0,0.0,0.0,0.001920341337809966,0.0004171808264311958,0.002405820889503497,0.0032368565255602604
cave,0.030658854377785982,0.015910087309684393,0.0,0.0,0.0,0.06282444732542042,0.0,0.11360360587792188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028690321378119395,0.002426495118288087,0.0,0.0,0.0,0.0,0.002147373747319366,0.0,0.0,0.0,0.0,0.0,0.005932574929034858,0.0,0.0015530645404905452,0.0,0.002184224154839667,0.0,0.0,0.0,0.0019048812017037093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034315874589515355,0.0027133482233570277,0.0,0.0,0.0,0.0,0.006222611925565451,0.0,0.004730025956933197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006819715943751712,0.00393283057093322,0.0
also,0.0010753628814369235,0.0,0.0015019201689763148,0.002353429948192628,0.002004417887848415,0.0009443891971593494,0.0,0.0006461610296353443,0.0,0.00045470590974339045,0.0009887564748782452,0.0015293222985141022,0.0,0.0009525304833417576,0.0022154092444640378,0.000805053086103052,0.0010213151802901802,0.0,0.0014931558928059985,0.0005680901597308169,0.0015589916905487673,0.0007908535301365104,0.0,0.0011881025383617622,0.001039124163645554,0.0007603856245515278,0.0011224740171951126,0.000624257265918892,0.0003772719968165391,0.0004085543947777552,0.0006696577943493568,0.000689507245351912,0.001964329530091447,0.0007140131571414791,0.0013811692008455485,0.0,0.0016678269595116057,0.0021046387822408357,0.0,0.0005916655211118815,0.0008323430212251894,0.0018048969648619727,0.0,0.0,0.0006982213969519361,0.0014956823833183605,0.0014224455217903581,0.0028151219380291434,0.0014576296866402963,0.0010419003872479385,0.0009728990597151035,0.001805449935745815,0.0011420520523787482,0.0008955909711663132,0.003442166232636881,0.0019348461600337892,0.0006350203222278384,0.0006547765100304823,0.000699879880080088,0.001244296577338332,0.0006013253663545246,0.001472545935218481,0.0006062745463245207,0.0015706259568961463,0.0009954372618706656,0.0005777439794386608,0.0,0.000671489128335727,0.0006405422380732979,0.0009909734176470305,0.0014352139771734878,0.0016553338736725676,0.0012249220425740316
