,places/Abandoned_mine_shaft.txt,places/Biome.txt,places/biomes.txt,places/Cavern.txt,places/Desert_temple.txt,places/Dungeon.txt,places/dungeons.txt,places/Generated_Structures.txt,places/huge-mushroom.txt,places/Huge_mushroom.txt,places/Huge_Mushrooms.txt,places/Jungle_temple.txt,places/Moss_Stone_Boulder.txt,places/Nether_fortress.txt,places/Nether_Portal.txt,places/Obsidian_pillar.txt,places/Ocean_monument.txt,places/Ocean_monument_structure.txt,places/Stronghold.txt,places/The_End.txt,places/The_Nether.txt,places/The_Overworld.txt,places/The_Void.txt,places/Tree.txt,places/Village.txt,places/Village_structures.txt
abandon,0.050671061478727686,0.0,0.0011498332671810306,0.002103106628820476,0.0,0.0024129076894632232,0.0030576366240877965,0.0016028229367821842,0.0,0.0,0.0,0.0,0.0,0.0,0.0004576204238637147,0.0,0.0,0.0,0.00630700623780486,0.001185498070753643,0.0,0.0,0.0,0.0,0.0,0.0
mineshaft,0.032147635172280684,0.0012350081032424477,0.0012766208913180055,0.0015566719892667097,0.0,0.008036908793070171,0.0050921854112892595,0.0007626685554890457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035012275930206686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gener,0.00569502561351703,0.0019447506945653812,0.00020102777937805805,0.0018384528759702813,0.00469629956884403,0.0029529762440458677,0.0008018596063831978,0.004283438068286314,0.0,0.0037400168208171543,0.0,0.004425273765911689,0.0,0.002040355232527221,0.00032002698211334524,0.007185121920996398,0.004514975261166655,0.0,0.0027566680637486174,0.0008290525293457382,0.0012570959548231573,0.0038082238145098687,0.0,0.0011956157152830983,0.0026387643992966717,0.004772973847519035
structur,0.00046440273519822835,0.0001427268010388036,0.00014753588699438302,0.00017990069272535918,0.0004923788035836637,0.0009288054703964567,0.0,0.001645274391845341,0.0,0.00045747135109079206,0.000452407092591632,0.0008119359078962402,0.0036059506497744787,0.0011230747061893034,0.00011743517441794279,0.001318304538627229,0.0008283940681914344,0.00021433972393764385,0.0005395041676230243,0.0,0.0003075309082583586,0.00037265143493110116,0.0,9.749687641537359e-05,0.0002979400293859836,0.005254385232528526
overworld,0.005857499153283952,0.0009001046428794896,0.0,0.0,0.0,0.003904999435522635,0.0,0.00111170364950896,0.0,0.0,0.0,0.0,0.0,0.0011804425774556973,0.012960558471346676,0.0,0.0026121280007887896,0.0,0.0,0.009592926653020865,0.013576076632862135,0.019976030547065635,0.0,0.0003074313670908476,0.0,0.0
mine,0.08036284065965768,0.0,0.0,0.00691800438058193,0.0,0.0,0.011315087964879803,0.0025420309051221697,0.0,0.0,0.0,0.0,0.0,0.0,0.0016934698223299513,0.0,0.0,0.0,0.00777990096595146,0.002924702224172819,0.0,0.0,0.0,0.0,0.0,0.0
shaft,0.08036284065965768,0.0,0.0,0.0017295010951454825,0.00946710840435057,0.0,0.0,0.0011297915133876312,0.0,0.0,0.0,0.0,0.0,0.0,0.0005644899407766504,0.0,0.0,0.0,0.00518660064396764,0.0014623511120864096,0.0,0.0,0.0,0.0,0.0,0.0
natur,0.0006327806237241146,0.0001944750694565381,0.00020102777937805805,0.0008579446754527979,0.00067089993840629,0.0008437074982988195,0.000267286535461066,0.000680546235148293,0.0005549969590138413,0.0006233361368028591,0.000616435736764451,0.0011063184414779222,0.0,0.0005100888081318053,0.0,0.0017962804802490995,0.0005643719076458319,0.0,0.0001837778709165745,0.0010363156616821727,0.0011174186265094732,0.0012694079381699562,0.0,0.0005313847623480437,0.0006089456306069243,0.0
usual,0.00325833812584512,0.002002796892254043,0.001035139910015778,0.0031555438929681276,0.0,0.0,0.0,0.003504294634266211,0.0,0.0,0.0,0.0,0.0,0.0,0.0016478951441055776,0.0,0.0,0.0015038483657746707,0.0018926320466955149,0.0,0.0,0.0,0.0021344944546479194,0.002052170016436847,0.0,0.0
found,0.0019876080641476595,0.00030542987714492556,0.0025257690923464844,0.002117393183523405,0.0,0.0033126801069127657,0.0,0.004338158219088637,0.0,0.0019579422721454558,0.0,0.0017375116852151725,0.0,0.00240333677374801,0.0003769601500969699,0.0,0.0008863657583361185,0.0,0.0014431477693481356,0.00032551397576611796,0.0015355767987227736,0.0011961896556268589,0.0006510279515322359,0.001877756167162958,0.001593950573921574,0.007496121841928316
underground,0.004464602258869872,0.0,0.002836714792639341,0.005188503285436447,0.0,0.0,0.003771695988293268,0.003954270296856709,0.0,0.0,0.0,0.0,0.0,0.0,0.0011289798815533009,0.0,0.0,0.0,0.006483250804959551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocean,0.002625557502121005,0.0016138467533409668,0.00250233639191316,0.00152563576058682,0.0,0.0017503716680806701,0.0,0.003654262634152599,0.0,0.0,0.0,0.0,0.0,0.0010582399703205272,0.0,0.0,0.042150842061077755,0.003635387310629084,0.0015250763048623658,0.0,0.0017386634963878227,0.001053415168024233,0.0,0.0,0.0,0.0
chunk,0.002625557502121005,0.0,0.0,0.0,0.0,0.0017503716680806701,0.0,0.002657645552110981,0.0,0.0,0.0,0.0,0.0,0.0,0.0013278681619922322,0.007453195489891885,0.004683426895675307,0.0,0.0,0.0008599840949875252,0.0017386634963878227,0.011587566848266562,0.0034399363799501007,0.0011024209631172093,0.0008422201464883903,0.0
featur,0.008786248729925929,0.0009001046428794896,0.0018608661569999559,0.000567270644338578,0.0,0.0,0.0,0.00111170364950896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008505939364504749,0.0009592926653020865,0.0006464798396601017,0.0023501212408312514,0.0,0.0003074313670908476,0.001878954770919761,0.0
ore,0.014180319521981753,0.0,0.0,0.019226141215423535,0.0,0.0,0.0,0.012559420309907634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multipl,0.003619361534194835,0.001112353253815409,0.0,0.0007010355429401588,0.0,0.0048258153789264464,0.0015288183120438982,0.0013738482315275864,0.0,0.0,0.0,0.0,0.0,0.0,0.0009152408477274294,0.0,0.0,0.0,0.0,0.0,0.0,0.0014521450532331858,0.0,0.0007598500556878221,0.0,0.0
near,0.00723872306838967,0.0,0.0,0.002103106628820476,0.0,0.0,0.0,0.0011448735262729888,0.0,0.0,0.0,0.0,0.0,0.0,0.0009152408477274294,0.0,0.0032280792061737716,0.0,0.0,0.0,0.0007989226128991943,0.004356435159699558,0.0,0.0003799250278439111,0.0023220205225454103,0.0
intersect,0.03746951421789504,0.0,0.0,0.0,0.0,0.008326558715087787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014509646869855944,0.002045482165741168,0.0,0.0,0.0,0.0,0.0,0.0
produc,0.004464602258869872,0.0013721245591870152,0.0,0.0008647505475727412,0.0,0.0,0.0,0.0011297915133876312,0.0,0.0,0.0,0.0,0.0,0.0,0.0005644899407766504,0.0,0.0,0.0,0.0,0.0,0.0019709949771599435,0.0,0.0,0.0009373001958979293,0.0,0.0
